"PROVINCIA","PORCENTAJEANALFABETISMO","POBLACIONTOTAL","PORCENTAJELENGUA","PORCENTAJENBI","Porcentaje Mujer","Porcentaje Hombre","Rural porcentaje","Urbano porcentaje","SIN WIFI","CON WIFI","UBIGEO","Departamento"
"BOLOGNESI",10.8750916659776,23797,25.6250787914443,32.513373676235,0.511787200067235,0.488212799932765,0.67329901210519,0.32670098789481,0.0254626408793655,0.974537359120634,"0205","ANCASH"
"BONGARA",7.91343822566244,25637,1.25599719155907,34.3596512938078,0.501267699028747,0.498732300971252,0.529758095481889,0.470241904518111,0.0299500831946755,0.970049916805324,"0103","AMAZONAS"
"CAJABAMBA",17.9992222376161,75687,0.573414192661884,24.2358150920667,0.491762125596205,0.508237874403795,0.707445796880943,0.292554203119057,0.0524914416127805,0.947508558387219,"0602","CAJAMARCA"
"CAJAMARCA",18.4392925714629,348433,1.67722345472444,23.7595337638897,0.47852241320426,0.52147758679574,0.416710856025869,0.583289143974131,0.240421306549383,0.759578693450617,"0601","CAJAMARCA"
"CAJATAMBO",10.6489998134389,6559,22.8845860649489,42.4654602782081,0.50525994816283,0.49474005183717,1,0,0.010738255033557,0.989261744966443,"1503","LIMA"
"CALCA",20.0185414647204,63155,69.4513498535349,27.1841531302498,0.492312564325865,0.507687435674135,0.564510205152421,0.435489794847579,0.0547248019308463,0.945275198069154,"0804","CUSCO"
"CALLAO",1.28319730515684,994494,6.17489899386019,10.1623202688002,0.488471524212313,0.511528475787687,0,1,0.442060940246706,0.557939059753294,"0701","CALLAO"
"CAMANA",3.93576938614707,59370,18.2398517769917,26.2813467274413,0.505760485093482,0.494239514906518,0.188420997430384,0.811579002569616,0.172216686769102,0.827783313230898,"0402","AREQUIPA"
"CANAS",19.5884699755923,32484,89.8196034971063,29.5737535985953,0.490980174855313,0.509019825144687,0.894215493879077,0.105784506120923,0.00513970656947949,0.994860293430521,"0805","CUSCO"
"CANCHIS",17.0436418136651,95774,62.7571157099004,21.3115749938687,0.478846033370226,0.521153966629774,0.40969910797497,0.59030089202503,0.150379443482892,0.849620556517108,"0806","CUSCO"
"CANDARAVE",9.02598687116997,6102,32.2681088167814,28.5103032199633,0.517862995739102,0.482137004260898,1,0,0.0178571428571429,0.982142857142857,"2302","TACNA"
"CANGALLO",22.5063751670349,30443,86.2727063692803,23.5562147652129,0.480570246033571,0.519429753966429,0.750551876379691,0.249448123620309,0.0154525386313466,0.984547461368653,"0502","AYACUCHO"
"CANTA",3.37427774872149,11548,10.1056459993072,30.4131141425696,0.516279875303083,0.483720124696917,0.558572146807441,0.441427853192559,0.0394670688788336,0.960532931121166,"1504","LIMA"
"CAÑETE",2.85562380799469,240013,6.9425406123835,21.7829764150649,0.498143850541429,0.501856149458571,0.108085080940494,0.891914919059506,0.219443655550739,0.780556344449261,"1505","LIMA"
"CARABAYA",13.0105978241023,73322,83.69247974687,33.5942355966322,0.526963257958048,0.473036742041952,0.610274053861668,0.389725946138332,0.0139992881717879,0.986000711828212,"2103","PUNO"
"CARAVELI",4.94274919094177,41346,17.9751366516713,23.9386136436756,0.553789967590577,0.446210032409423,0.372900701125061,0.627099298874939,0.106962334909506,0.893037665090494,"0403","AREQUIPA"
"CARHUAZ",23.515396547347,45184,67.9488314447592,23.2886912862495,0.482161827195467,0.517838172804533,0.711977468129262,0.288022531870738,0.0707826860361696,0.92921731396383,"0206","ANCASH"
"CARLOS FERMIN FITZCARRALD",26.5138759284711,17717,85.6070440819552,37.7407516317107,0.475927075690015,0.524072924309985,0.81706857573474,0.18293142426526,0.014318010550113,0.985681989449887,"0207","ANCASH"
"CASMA",11.4036116060703,50989,15.9132361881975,28.7324453434448,0.500088254329365,0.499911745670635,0.240173239713892,0.759826760286108,0.128289257825317,0.871710742174683,"0208","ANCASH"
